entry_id,model,model_label,domain,task_id8,task_id,source_zip,folder,instruction,score,success,duration_sec,session_recording_duration_sec,info_duration_sec,raw_steps,annotatable_steps,sleep_steps,done_steps,hidden_actions,has_recording,recording_path,traj_path,trajectory_sha256,recording_sha256,has_session,has_info,has_result,has_system_prompt,has_trajectory_csv,action_summaries
gpt55__93eabf48,gpt55,GPT-5.5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,chrome_93eabf48_three_models_videos_20260924_102733.zip + minimax_fable_gpt55_osworld_80tasks_trajectories_20260923_204010.zip,gpt55/chrome__93eabf48,"Could you assist me in turning off the dark mode feature in Google Chrome? I've noticed that while dark mode is great for reducing glare, it actually makes it more challenging for me to read text clearly, especially with my astigmatism.",0.0,False,203.6,203.6,203.6,5,3,1,1,1,True,gpt55/chrome__93eabf48/recording.mp4,gpt55/chrome__93eabf48/traj.jsonl,ac5aba462514dc853d652fd95510b7c4bb5eabbfa43ddc88ae5c840dad85c2ee,19a48f599486e4c0346b8e2197db593c81dc127d7736a3435447339a83fb77b7,True,True,True,True,False,"pyautogui.hotkey('ctrl', 'l') | pyautogui.write('chrome://flags/#enable-force-dark', interval=0.01) | pyautogui.press('enter') || pyautogui.click(1258, 222) | pyautogui.press('end') | pyautogui.press('enter') || pyautogui.click(1824, 1034)"
minimax__93eabf48,minimax,MiniMax-M3,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,chrome_93eabf48_three_models_videos_20260924_102733.zip + minimax_fable_gpt55_osworld_80tasks_trajectories_20260923_204010.zip,minimax/chrome__93eabf48,"Could you assist me in turning off the dark mode feature in Google Chrome? I've noticed that while dark mode is great for reducing glare, it actually makes it more challenging for me to read text clearly, especially with my astigmatism.",1.0,True,55.133,55.133333,55.133333,5,4,0,1,0,True,minimax/chrome__93eabf48/recording.mp4,minimax/chrome__93eabf48/traj.jsonl,43d04e8d05c2ea465174b9adbe71d6866ac45996ec8668d57ea89e065cfc3e24,7b9ee889d304127db1c13173048d6913c0edfd13c6383e8e883e9884c40249c8,True,True,True,False,False,"""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(984, 129) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(327, 124) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(632, 299) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(594, 324)"
fable__93eabf48,fable,Claude Fable 5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,chrome_93eabf48_three_models_videos_20260924_102733.zip + minimax_fable_gpt55_osworld_80tasks_trajectories_20260923_204010.zip,fable/chrome__93eabf48,"Could you assist me in turning off the dark mode feature in Google Chrome? I've noticed that while dark mode is great for reducing glare, it actually makes it more challenging for me to read text clearly, especially with my astigmatism.",0.0,False,110.467,110.466667,110.466667,5,4,0,1,0,True,fable/chrome__93eabf48/recording.mp4,fable/chrome__93eabf48/traj.jsonl,da73a75527a45e30597cdb06ad394402b92547bf6b90a93302a9c1128da730e3,ce16b7e85ae5aa84ebaf891b826bd690dcb2acb40603ceb07691b720e278569d,True,True,True,True,False,"pyautogui.click(400, 89) | pyautogui.typewrite('chrome://flags/#enable-force-dark', interval=0.02) | pyautogui.press('enter') || pyautogui.click(1258, 223) | pyautogui.press('end') | pyautogui.press('enter') || pyautogui.click(1822, 1034) || pyautogui.hotkey('ctrl', 't')"
gpt55__77b8ab4d,gpt55,GPT-5.5,gimp,77b8ab4d,77b8ab4d-994f-43ac-8930-8ca087d7c4b4,fable_minimax_gpt55_final8_24recordings_20260923_223430.zip,gpt55/gimp__77b8ab4d,Could you assist me in placing my photo on the desktop and renaming it to export.jpg?,1.0,True,70.6,70.812,70.6,4,3,0,1,0,True,gpt55/gimp__77b8ab4d/recording.mp4,gpt55/gimp__77b8ab4d/traj.jsonl,f032a5cc4c029a5f593001bd6f2759fbddb1f7579e1ff6588040762c15d481ba,6363713c2f2c8d868aeef4cfedd8d223cbec39286a29e66442078985a793a76d,True,True,True,True,True,"pyautogui.hotkey('ctrl','shift','e') | pyautogui.hotkey('ctrl','l') | pyautogui.write(os.path.expanduser('~/Desktop/export.jpg'), interval=0.01) || # The export path is already set to /home/user/Desktop/export.jpg and the JPEG options dialog is open; click Export to save it. | pyautogui.click(1519, 933) || src = os.path.expanduser(""~/Desktop/export.jpg.jpg"")"
minimax__77b8ab4d,minimax,MiniMax-M3,gimp,77b8ab4d,77b8ab4d-994f-43ac-8930-8ca087d7c4b4,fable_minimax_gpt55_final8_24recordings_20260923_223430.zip,minimax/gimp__77b8ab4d,Could you assist me in placing my photo on the desktop and renaming it to export.jpg?,1.0,True,144.567,144.765,144.566667,15,14,0,1,0,True,minimax/gimp__77b8ab4d/recording.mp4,minimax/gimp__77b8ab4d/traj.jsonl,53b5ce60265761b51ea40c20e21394e738b7917b0070b8bb12fcd8f337bf88e6,4a5126f6913ca7cc131f0665010778e3aeb9bcdba495cdeb85fcedafc273a12b,True,True,True,False,True,"""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(45, 71)  # Click on File menu || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(72, 375) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Triple click on the Name field to select all text || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # The filename didn't change. The triple-click may not have selected all text. Let me try again with a different approach. || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Let me click directly on the Name input field and try again. || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Looking at the dialog, the file already exists. Let me click Replace since we want to save export.jpg || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Triple click on the Name field to select all text || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Let me click on the Name field again and use Ctrl+A to select all and then type || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # This dialog is for setting JPG quality options. I need to click Export to finalize the export. || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Let me try a different approach - click directly into the Name field, use triple-click to select all text, then type new name. || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Now I can click the Export button to save the file. || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # The dialog is still open. I need to wait for the JPG export options dialog to appear and click Export. || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # I'll just click Export to confirm and save the file with default settings."
fable__77b8ab4d,fable,Claude Fable 5,gimp,77b8ab4d,77b8ab4d-994f-43ac-8930-8ca087d7c4b4,fable_minimax_gpt55_final8_24recordings_20260923_223430.zip,fable/gimp__77b8ab4d,Could you assist me in placing my photo on the desktop and renaming it to export.jpg?,1.0,True,87.233,87.547,87.233333,6,5,0,1,0,True,fable/gimp__77b8ab4d/recording.mp4,fable/gimp__77b8ab4d/traj.jsonl,2bac4a4f5581e04ee98a73514fac6a050698680a5798a0a5a07e86072d498376,d1b0011297488a960ffcfb948c3da44d509bc3645d1a62b712e8b4c014ea89d3,True,True,True,True,True,"pyautogui.hotkey('shift', 'ctrl', 'e') || pyautogui.click(1470, 416) | pyautogui.hotkey('ctrl', 'a') | pyautogui.typewrite('export.jpg', interval=0.05) || pyautogui.click(1859, 1046) || pyautogui.click(1859, 1046) || pyautogui.click(1518, 931)"
gpt55__04d9aeaf,gpt55,GPT-5.5,libreoffice_calc,04d9aeaf,04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,fable_minimax_gpt55_final8_24recordings_20260923_223430.zip,gpt55/libreoffice_calc__04d9aeaf,"In a new sheet (""Sheet2"") with 4 headers ""Year"", ""CA changes"", ""FA changes"", and ""OA changes"", calculate the percentage annual changes compared to last year in 2015 to 2019 for the Current Assets, Fixed Assets, and Other Assets columns.",0.0,False,316.767,442.406,316.766667,5,5,0,0,0,True,gpt55/libreoffice_calc__04d9aeaf/recording.mp4,gpt55/libreoffice_calc__04d9aeaf/traj.jsonl,545b3c9cabde73affe474a1e9c1cce857be7c4cfb83a07fb30c431b5cbdf622c,812896a3c21ae211d72fc4177431c01834a84d65696804717792a0ed80bf380d,True,True,True,True,True,"pyautogui.click(195, 1046) | pyautogui.hotkey('ctrl', 'home') | pyautogui.hotkey('ctrl', 'v') || pyautogui.hotkey('ctrl','v') | pyautogui.dragTo(438, 414, 0.2, button='left') | pyautogui.hotkey('ctrl','shift','5') || pyautogui.click(151, 315) | pyautogui.hotkey('ctrl','v') | pyautogui.dragTo(438, 414, 0.2, button='left') || pyautogui.click(151,315) | pyautogui.hotkey('ctrl','v') | pyautogui.hotkey('ctrl','s') || open('/tmp/fill_sheet2.py','w').write(script) | pyautogui.hotkey('ctrl','s')"
minimax__04d9aeaf,minimax,MiniMax-M3,libreoffice_calc,04d9aeaf,04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,fable_minimax_gpt55_final8_24recordings_20260923_223430.zip,minimax/libreoffice_calc__04d9aeaf,"In a new sheet (""Sheet2"") with 4 headers ""Year"", ""CA changes"", ""FA changes"", and ""OA changes"", calculate the percentage annual changes compared to last year in 2015 to 2019 for the Current Assets, Fixed Assets, and Other Assets columns.",1.0,True,135.6,135.891,135.6,11,10,0,1,0,True,minimax/libreoffice_calc__04d9aeaf/recording.mp4,minimax/libreoffice_calc__04d9aeaf/traj.jsonl,671566f7373b27bee66984f6aae2c557a2cf86d0e03738d966620a8b34868981,8d99003daeae934f61d44132bc825e47f0e7f7736581015d11953b045246f8c1,True,True,True,False,True,"""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | # Right-click on the ""Sheet1"" tab at the bottom to open the context menu || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(211, 71) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(238, 281) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(384, 364) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(78, 290) || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.typewrite('2015\t\n2016\t\n2017\t\n2018\t\n2019\t\n') || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.typewrite('=(Sheet1.B3-Sheet1.B2)/Sheet1.B2\t=(Sheet1.C3-Sheet1.C2)/Sheet1.C2\t=(Sheet1.D3-Sheet1.D2)/Sheet1.D2\n') || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(74, 171)  # Click Name Box || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.hotkey('ctrl', 's') || ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.hotkey('ctrl', 's')"
fable__04d9aeaf,fable,Claude Fable 5,libreoffice_calc,04d9aeaf,04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,fable_minimax_gpt55_final8_24recordings_20260923_223430.zip,fable/libreoffice_calc__04d9aeaf,"In a new sheet (""Sheet2"") with 4 headers ""Year"", ""CA changes"", ""FA changes"", and ""OA changes"", calculate the percentage annual changes compared to last year in 2015 to 2019 for the Current Assets, Fixed Assets, and Other Assets columns.",1.0,True,322.833,323.344,322.833333,4,3,0,1,0,True,fable/libreoffice_calc__04d9aeaf/recording.mp4,fable/libreoffice_calc__04d9aeaf/traj.jsonl,c7b8b83348ef36638a0c7445d7819a08c902b0b5c054307e58bc11ddf73f32c3,71c43e8c638cc9a9193e096cdaf01606e6e16c9b1b5799ff6e945cb497da901f,True,True,True,True,True,"pyautogui.click(194, 1045) || pyautogui.typewrite('Year\tCA changes\tFA changes\tOA changes\n', interval=0.03) | pyautogui.typewrite('2015\t=(Sheet1.B3-Sheet1.B2)/Sheet1.B2\t=(Sheet1.C3-Sheet1.C2)/Sheet1.C2\t=(Sheet1.D3-Sheet1.D2)/Sheet1.D2\n', interval=0.03) | pyautogui.typewrite('2016\t=(Sheet1.B4-Sheet1.B3)/Sheet1.B3\t=(Sheet1.C4-Sheet1.C3)/Sheet1.C3\t=(Sheet1.D4-Sheet1.D3)/Sheet1.D3\n', interval=0.03) || pyautogui.hotkey('ctrl', 's') | pyautogui.press('enter')"
gpt55__2b94c692,gpt55,GPT-5.5,libreoffice_impress,2b94c692,2b94c692-6abb-48ae-ab0b-b3e8a19cb340,fable_minimax_gpt55_final8_24recordings_20260923_223430.zip,gpt55/libreoffice_impress__2b94c692,Move the image to the right side on Slide 2.,1.0,True,87.767,88.079,87.766667,2,1,0,1,0,True,gpt55/libreoffice_impress__2b94c692/recording.mp4,gpt55/libreoffice_impress__2b94c692/traj.jsonl,42d4346609cb68253cf704a1b6fa0f06cf79266eecb82f029257502e2a281077,133e6a645e6ec968a10048c8dea5c47225c12bcd58e900c5a407103023bda888,True,True,True,True,True,"# Reflection: The main canvas is still on Slide 1, while Slide 2 thumbnail shows the image on the left; select Slide 2 and drag that image to the right side. | pyautogui.click(176, 395)"
